px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.89882	-7.59986	-2.71399	2.22349	0.134583	8.74707	-7.66927	8.8	-7.7	0.909061	-2.72717	1997.79
8.94973	-7.7602	-2.72808	2.18859	0.0922998	8.85031	-7.85391	8.85	-7.85	0.909053	-2.72715	5210.37
9.02129	-7.88305	-2.68377	2.18333	0.0806614	8.88546	-7.96913	8.9	-8	0.908945	-2.72688	2087.7
9.06029	-8.05313	-2.70483	2.13879	0.0317901	8.95085	-8.16397	8.95	-8.15	0.908953	-2.72687	5455.79
9.13018	-8.17912	-2.67917	2.13351	0.0238776	9.03618	-8.239	9.05	-8.25	1.82026	-1.82027	2176.04
9.19238	-8.31811	-2.68489	2.11895	0.00808762	9.15149	-8.34807	9.15	-8.35	1.82025	-1.82026	5699.92
9.27426	-8.44713	-2.79753	2.12434	0.0170409	9.14011	-8.44049	9.2	-8.5	0.999884	-2.99963	2257.82
9.31507	-8.5942	-2.80904	2.09399	-0.0140496	9.22902	-8.65053	9.25	-8.65	0.999874	-2.9996	5966.97
9.37998	-8.71828	-2.81821	2.08988	-0.0169544	9.23666	-8.722	9.3	-8.8	0.999284	-2.99783	2341.95
9.42248	-8.87257	-2.84085	2.05948	-0.0464707	9.36398	-8.95164	9.35	-8.95	0.999284	-2.99784	6276.79
9.45945	-8.99225	-2.63822	2.03309	-0.0792879	9.47823	-9.13791	9.4	-9.05	0.909209	-1.81844	2467.42
9.50106	-9.13664	-2.64285	2.00943	-0.0985065	9.43696	-9.1575	9.45	-9.15	0.90921	-1.81843	6454.27
9.55826	-9.26991	-2.64978	2.00147	-0.10061	9.44585	-9.27158	9.5	-9.3	0.908483	-2.72543	2512.32
9.59629	-9.41982	-2.66031	1.9757	-0.120634	9.53884	-9.45193	9.55	-9.45	0.908475	-2.72542	6718.22
9.65921	-9.56363	-2.6998	1.9708	-0.117482	9.6872	-9.68187	9.6	-9.6	0.909756	-2.72927	2659.02
9.70169	-9.71702	-2.71565	1.94916	-0.132452	9.67284	-9.75791	9.65	-9.75	0.909739	-2.72923	7022.36
9.77142	-9.86541	-2.82857	1.95269	-0.117478	9.86489	-10.0711	9.7	-9.9	0.998626	-2.99586	2804.68
9.80188	-10.0139	-2.84212	1.92735	-0.136682	9.74713	-10.0467	9.75	-10.05	0.998616	-2.99584	7312.5
9.81956	-10.1378	-2.65389	1.89301	-0.173878	9.75497	-10.1932	9.75	-10.2	0	-2.72857	2808.74
9.82996	-10.3051	-2.68047	1.85198	-0.204897	9.74697	-10.3629	9.75	-10.35	0	-2.72854	7540.66
9.87411	-10.4528	-2.72872	1.8451	-0.197349	9.77249	-10.4428	9.8	-10.5	0.909773	-2.7293	2899.18
9.89746	-10.6123	-2.74544	1.81931	-0.212024	9.86261	-10.6462	9.85	-10.65	0.909773	-2.7293	7835.36
